"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@Infosys Let Infy go to hell, the wishes of handful must be fulfilled ignoring the interest of minority share holders, delist it.",FALSE,0,"Infosys",2017-08-20 18:08:51,FALSE,"897885483857920000","899332416631840768","14462907","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","saralmitra",0,FALSE,FALSE,NA,NA
"2","RT @DeependerSHooda: As one who started out as Software Engineer at @Infosys, I feel sad at ongoing. Infy needs to preserve what it stood f…",FALSE,0,NA,2017-08-20 18:04:44,FALSE,NA,"899331379619536900",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CongressSonipat",125,TRUE,FALSE,NA,NA
"3","RT @DeependerSHooda: As one who started out as Software Engineer at @Infosys, I feel sad at ongoing. Infy needs to preserve what it stood f…",FALSE,0,NA,2017-08-20 17:57:21,FALSE,NA,"899329520896851968",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Team_deepender",125,TRUE,FALSE,NA,NA
"4","RT @DeependerSHooda: As one who started out as Software Engineer at @Infosys, I feel sad at ongoing. Infy needs to preserve what it stood f…",FALSE,0,NA,2017-08-20 17:54:06,FALSE,NA,"899328705490583553",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sainisatish_hyc",125,TRUE,FALSE,NA,NA
"5","RT @InfosysEvents: The ATP PlayerZone brings an enhanced #digital experience for players, coaches &amp; support staff #MoreATPwithInfosys https…",FALSE,0,NA,2017-08-20 17:52:47,FALSE,NA,"899328371007434752",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sweetyy_18",3,TRUE,FALSE,NA,NA
"6","RT @samAlochaka: @vsikka @Infosys_nmurthy what Sikka did to Infy - what ""Sheldon Pollock"" will do to ""Sanskrit"". Infy ""deserved"" Sikka WAY…",FALSE,0,NA,2017-08-20 17:52:22,FALSE,NA,"899328266481287168",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","yantrak",1,TRUE,FALSE,NA,NA
"7","RT @samAlochaka: @vsikka @Infosys_nmurthy Also, by the way, Sikka is no less a fart; I would conjecture he is a bigger fart than Infy. BTW,…",FALSE,0,NA,2017-08-20 17:52:04,FALSE,NA,"899328192204242944",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","yantrak",1,TRUE,FALSE,NA,NA
"8","US law firms mull class action suit to recover Infosys investors' possible losses https://t.co/QOoZDErNE0 via @TOIBusiness",FALSE,1,NA,2017-08-20 17:33:52,FALSE,NA,"899323614033465344",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Naagesh_tweets",0,FALSE,FALSE,NA,NA
"9","RT @InfosysEvents: The ATP PlayerZone brings an enhanced #digital experience for players, coaches &amp; support staff #MoreATPwithInfosys https…",FALSE,0,NA,2017-08-20 17:23:01,FALSE,NA,"899320881071226881",NA,"<a href=""http://www.pietroniro.com.br"" rel=""nofollow"">PietronD</a>","pietroniro",3,TRUE,FALSE,NA,NA
"10","RT @lopamudra309: #Infy  CEO Vishal Sikka resigns ...#Infosys 

and I am resigning #Twitter  <ed><U+00A0><U+00BD><ed><U+00B9><U+008B>",FALSE,0,NA,2017-08-20 17:04:05,FALSE,NA,"899316115561566209",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mayank08_moon",24,TRUE,FALSE,NA,NA
"11","No gainsaying that Infy and @Infosys_nmurthy are farts. But I consider @vsikka a much bigger fart and worse. I susp… https://t.co/SdYkwrd37Q",FALSE,0,NA,2017-08-20 17:03:15,TRUE,NA,"899315908467867648",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","samAlochaka",0,FALSE,FALSE,NA,NA
"12","@vsikka @Infosys_nmurthy what Sikka did to Infy - what ""Sheldon Pollock"" will do to ""Sanskrit"". Infy ""deserved"" Sik… https://t.co/hav9d9Qd2B",FALSE,0,"samAlochaka",2017-08-20 16:50:48,TRUE,"899312301769019392","899312774664249344","624701557","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","samAlochaka",1,FALSE,FALSE,NA,NA
